# INTERNAL WORKING - NOT VERIFIED FOR EXTERNAL USE. Numbers pending attestation-stability per F1 discipline.
# Baseline: post-M-RI-16 remediated run (audit/out/attested-remediated-2026-08-02/, produced by rerun_remediated.py under rules.py sha256 33bf6bfb...86a7, the PREREGISTRATION §9 A2 re-pin; inputs read at HEAD 0139558 'M-RI-16-P2'; during this pass commit 59b8f39 'M-RI-16-P3' landed, committing those same outputs with input bytes unchanged).
pin_verbatim,county_label,nc_reason,digit_count,structural_class,pin10_prefix_in_fetched_assessor,citation
30-07-15-217-013-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-220-017-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-221-004-0000,Cook,pin-format,16,MALFORMED (fails Cook 14-digit rule),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-321-009-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-411-010-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-234-004-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-234-006-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-234-047-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-308-008-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-410-015-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-412-015-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-415-011-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-416-006-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-417-009-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-16-434-009-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-22-105-003-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
31-33-407-020-0000,Will,county-mismatch,14,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
4545,Cook,pin-format,4,MALFORMED (fails Cook 14-digit rule),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
