# INTERNAL WORKING - NOT VERIFIED FOR EXTERNAL USE. Numbers pending attestation-stability per F1 discipline.
# Baseline: post-M-RI-16 remediated run (audit/out/attested-remediated-2026-08-02/, produced by rerun_remediated.py under rules.py sha256 33bf6bfb...86a7, the PREREGISTRATION §9 A2 re-pin; inputs read at HEAD 0139558 'M-RI-16-P2'; during this pass commit 59b8f39 'M-RI-16-P3' landed, committing those same outputs with input bytes unchanged).
# A3 recompute 2026-08-03: acq_secure_date_verbatim + temporal_class added per PREREGISTRATION §9 A3 (year-granular; classes pre-declared before join); source crm_acq_dates.json sha256 480c2752...ebedd
pin,finding,crm_status_verbatim,held_rule,assessor_max_year,owner_name_verbatim,mail_name_verbatim,annual_tax_sale_years,annual_sold_at_sale_verbatim,annual_tax_amount_offered,annual_total_tax_and_penalty_offered,scavenger_tax_sale_years,scavenger_from_to_years,scavenger_total_amount_paid,citation,acq_secure_date_verbatim,temporal_class
29-16-307-019-0000,DELINQUENT-WHILE-HELD,Demolition Phase,H1,2026,SO SUB LAND/BK/DEV,NULL,2014,False,3634.03,4233.64,NULL,NULL,NULL,"55ju-2fs9 rows=1, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
29-30-200-029-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,SOUTH SUBURBAN LAND BA,2011; 2012; 2013; 2014,False; False; False; False,4394.18; 4573.88; 4970.1; 5368.83,5435.31; 5647.06; 6127.9; 6459.66,NULL,NULL,NULL,"55ju-2fs9 rows=4, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
30-17-213-007-0000,DELINQUENT-WHILE-HELD,Listed,H1,2026,SO SUB LAND/BK/DEV,NULL,2013; 2014,False; False,5944.3; 6046.15,7335.93; 7288.94,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",2025-08-01,PRE-ACQUISITION
31-13-106-023-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-13-106-024-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-13-106-025-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-13-106-026-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-13-106-027-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-14-407-006-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2012; 2013; 2014,True; True; False,8399.34; 8879.08; 8855.9,10361.96; 10956.87; 10683.39,NULL,NULL,NULL,"55ju-2fs9 rows=3, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-14-409-007-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-23-105-016-0000,NON-EXEMPT-WHILE-HELD,Under Contract,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-25-305-036-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-002-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-005-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1460.79; 794.92,1799.75; 1009.48,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-006-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1597.14; 868.87,1967.67; 1103.41,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-007-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1860.85; 1012.22,2292.43; 1285.46,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-008-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,2029.77; 1104.45,2500.49; 1402.71,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-010-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-012-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-014-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-016-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1869.97; 1017.24,2303.72; 1291.92,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-018-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1525.8; 830.2,1879.77; 1054.3,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-020-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-021-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-023-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-024-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-103-025-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-103-026-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1642.21; 893.3,2023.23; 1134.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-104-002-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-005-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-006-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-104-008-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1595.17; 867.9,1965.21; 1102.26,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-104-009-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-010-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-012-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-013-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-014-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-015-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-016-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-017-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-018-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-019-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-020-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-021-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-022-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-023-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-024-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-025-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-026-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-027-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-028-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-104-029-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1706.95; 928.73,2102.98; 1179.47,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-001-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-002-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1633.51; 888.77,2012.36; 1128.71,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-003-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1636.88; 890.71,2016.66; 1131.19,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-004-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-006-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-007-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-008-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
